id,username,gender,age,layout,level,path,path_length_difference,groupSize,origin_file,file,answer,time
1,nozomi,Male,null,FDGIB,0,85+64+83+141+59,0,10,25.json,0.json,1,7876000
2,nozomi,Male,null,FDGIB,0,42+56+159+152+44,0,10,5.json,1.json,1,7091000
3,nozomi,Male,null,FDGIB,0,616+595+487+607+606+604,-1,40,28.json,2.json,1,22127000
4,nozomi,Male,null,TRGIB,0,214+178+399+416+212,0,40,19.json,3.json,1,22335000
5,nozomi,Male,null,TRGIB,0,240+327+239+391+270,0,40,27.json,4.json,1,6730000
6,nozomi,Male,null,TRGIB,0,697+30+275+276+311,0,40,0.json,5.json,1,22060000
7,nozomi,Male,null,TRGIB,0,427+468+638+626+439,0,40,12.json,6.json,1,7810000
8,nozomi,Male,null,FDGIB,0,169+183+270+278+167,0,40,1.json,7.json,1,9793000
9,nozomi,Male,null,TRGIB,0,82+138+141+96+87,0,10,12.json,8.json,1,9582000
10,nozomi,Male,null,FDGIB,0,115+73,3,10,20.json,9.json,0,30000
11,nozomi,Male,null,TRGIB,0,157+18+142+156+136,0,10,26.json,10.json,1,17381000
12,nozomi,Male,null,FDGIB,0,149+115+116+54+67,0,10,11.json,11.json,1,10257000
13,nozomi,Male,null,FDGIB,0,304+107+446+445+124,0,40,2.json,12.json,1,8795000
14,nozomi,Male,null,FDGIB,0,211+770+387,2,40,23.json,13.json,0,30000
15,nozomi,Male,null,FDGIB,0,469+407+470+228+399,0,40,29.json,14.json,1,10089000
16,nozomi,Male,null,FDGIB,0,10+36+65+26+64,0,10,28.json,15.json,1,27843000
17,nozomi,Male,null,TRGIB,0,42+56+43+159+147+152,-1,10,5.json,16.json,1,7602000
18,nozomi,Male,null,FDGIB,0,337+476+77+76+344,0,40,32.json,17.json,1,10398000
19,nozomi,Male,null,TRGIB,0,4+576+5+564,1,40,7.json,18.json,0,30000
20,nozomi,Male,null,FDGIB,0,550+15+7+295+558,0,40,26.json,19.json,1,7230000
21,nozomi,Male,null,FDGIB,0,87+125+117+127+89+86,-1,10,17.json,20.json,1,13653000
22,nozomi,Male,null,FDGIB,0,126+113+98+55+71,0,10,0.json,21.json,1,11256000
23,nozomi,Male,null,TRGIB,0,88+5+84+436+430,0,40,11.json,22.json,1,5696000
24,nozomi,Male,null,TRGIB,0,136+129+30+29+130,0,10,9.json,23.json,1,5589000
25,nozomi,Male,null,TRGIB,0,86+175+157+156+87,0,10,19.json,24.json,1,8817000
26,nozomi,Male,null,FDGIB,0,88+5+84+436+430,0,40,11.json,25.json,1,23385000
27,nozomi,Male,null,TRGIB,0,216+149+155+325+217,0,40,5.json,26.json,1,10286000
28,nozomi,Male,null,TRGIB,0,91+20+64+72+84,0,10,8.json,27.json,1,6379000
29,nozomi,Male,null,FDGIB,0,427+468+638+626+439,0,40,12.json,28.json,1,7618000
30,nozomi,Male,null,FDGIB,0,322+108+101+97+109+98,-1,40,13.json,29.json,1,5678000
31,nozomi,Male,null,TRGIB,0,10+36+26+64+65,0,10,28.json,30.json,1,7759000
32,nozomi,Male,null,FDGIB,0,53+43+50+211+196,0,40,18.json,31.json,1,8122000
33,nozomi,Male,null,FDGIB,0,149+31+8+15+135,0,10,1.json,32.json,1,12712000
34,nozomi,Male,null,FDGIB,0,153+28+127+15+7,0,10,3.json,33.json,1,8275000
35,nozomi,Male,null,FDGIB,0,35+71+67+110+25,0,10,24.json,34.json,1,6376000
36,nozomi,Male,null,FDGIB,0,36+410+517+501+407,0,40,22.json,35.json,1,22753000
37,nozomi,Male,null,FDGIB,0,110+153+144+94+87,0,10,7.json,36.json,1,6347000
38,nozomi,Male,null,TRGIB,0,126+113+98+55+71,0,10,0.json,37.json,1,7087000
39,nozomi,Male,null,FDGIB,0,56+138+15+48+52+61,-1,10,14.json,38.json,1,17029000
40,nozomi,Male,null,TRGIB,0,287+76+297+243+245,0,40,10.json,39.json,1,10887000
41,nozomi,Male,null,TRGIB,0,147+83+81+98+130,0,10,16.json,40.json,1,5303000
42,nozomi,Male,null,FDGIB,0,446+422+435+553+567+559,-1,40,24.json,41.json,0,30000
43,nozomi,Male,null,FDGIB,0,208+518+311+301,1,40,15.json,42.json,0,30000
44,nozomi,Male,null,TRGIB,0,330+640+252+643+645+649+245,-2,40,4.json,43.json,1,19312000
45,nozomi,Male,null,TRGIB,0,588+249+242+554+545,0,40,14.json,44.json,1,6573000
46,nozomi,Male,null,FDGIB,0,214+178,3,40,19.json,45.json,0,30000
47,nozomi,Male,null,FDGIB,0,287+76+243+245+297,0,40,10.json,46.json,1,8700000
48,nozomi,Male,null,TRGIB,0,139+105+81+110+89,0,10,21.json,47.json,1,11243000
49,nozomi,Male,null,FDGIB,0,330+640+643+242+247,0,40,4.json,48.json,1,27173000
50,nozomi,Male,null,FDGIB,0,136+129+30+130+29,0,10,9.json,49.json,1,20310000
51,nozomi,Male,null,FDGIB,0,183+120+139+130+182,0,10,29.json,50.json,1,23366000
52,nozomi,Male,null,FDGIB,0,157+18+156+136+142,0,10,26.json,51.json,1,5585000
53,nozomi,Male,null,FDGIB,0,91+20+57+64+72+52,-1,10,8.json,52.json,1,6787000
54,nozomi,Male,null,FDGIB,0,59+131+123+87+84,0,10,23.json,53.json,1,9997000
55,nozomi,Male,null,FDGIB,0,147+83+81+130+98,0,10,16.json,54.json,1,13320000
56,nozomi,Male,null,FDGIB,0,216+149+155+325+217,0,40,5.json,55.json,1,6597000
57,nozomi,Male,null,TRGIB,0,149+115+116+54+67,0,10,11.json,56.json,1,12692000
58,nozomi,Male,null,TRGIB,0,359+59+554+559+370,0,40,16.json,57.json,1,26443000
59,nozomi,Male,null,TRGIB,0,105+16+114+74+59,0,10,22.json,58.json,1,6380000
60,nozomi,Male,null,FDGIB,0,86+175+87+156+157,0,10,19.json,59.json,1,5288000
61,nozomi,Male,null,FDGIB,0,4+576+570+47+0+103,-1,40,7.json,60.json,0,30000
62,nozomi,Male,null,FDGIB,0,200+526+520+136,1,40,31.json,61.json,0,30000
63,nozomi,Male,null,FDGIB,0,82+138+132+131+84+67,-1,10,12.json,62.json,1,7595000
64,nozomi,Male,null,TRGIB,0,31+73+51+60+92,0,10,10.json,63.json,1,6103000
65,nozomi,Male,null,FDGIB,0,59+160+82+76+137+114+83,-2,10,15.json,64.json,1,21957000
66,nozomi,Male,null,TRGIB,0,161+128+121+28+42,0,10,13.json,65.json,1,8233000
67,nozomi,Male,null,TRGIB,0,208+518,3,40,15.json,66.json,0,30000
68,nozomi,Male,null,TRGIB,0,87+125+117+127+89+86,-1,10,17.json,67.json,1,7514000
69,nozomi,Male,null,FDGIB,0,579+241+562+48+36,0,40,6.json,68.json,1,9435000
70,nozomi,Male,null,TRGIB,0,28+158+48+42+163+162,-1,10,6.json,69.json,1,7023000
71,nozomi,Male,null,TRGIB,0,149+31+135+15+8,0,10,1.json,70.json,1,6656000
72,nozomi,Male,null,TRGIB,0,153+28+127+15+7,0,10,3.json,71.json,1,7644000
73,nozomi,Male,null,TRGIB,0,446+422+435+553+562,0,40,24.json,72.json,1,16276000
74,nozomi,Male,null,TRGIB,0,353+63+73+484+485,0,40,25.json,73.json,1,11302000
75,nozomi,Male,null,TRGIB,0,73+63+60+125+116,0,10,4.json,74.json,1,6828000
76,nozomi,Male,null,FDGIB,0,240+327+239+391+270,0,40,27.json,75.json,1,8845000
77,nozomi,Male,null,FDGIB,0,455+239+248+329+459,0,40,17.json,76.json,1,5408000
78,nozomi,Male,null,FDGIB,0,446+592+57+440,1,40,9.json,77.json,0,30000
79,nozomi,Male,null,TRGIB,0,276+584+85+585+79,0,40,8.json,78.json,1,16804000
80,nozomi,Male,null,TRGIB,0,169+183+167+270+278,0,40,1.json,79.json,1,5554000
81,nozomi,Male,null,TRGIB,0,59+160+83+114+137,0,10,15.json,80.json,1,9133000
82,nozomi,Male,null,TRGIB,0,110+153+144+94+87,0,10,7.json,81.json,1,5284000
83,nozomi,Male,null,FDGIB,0,73+63+60+125+116,0,10,4.json,82.json,1,12845000
84,nozomi,Male,null,FDGIB,0,105+16+59+74+114,0,10,22.json,83.json,1,4650000
85,nozomi,Male,null,TRGIB,0,500+199+486+489+503,0,40,3.json,84.json,1,13748000
86,nozomi,Male,null,FDGIB,0,14+79+263+585+590,0,40,21.json,85.json,1,8466000
87,nozomi,Male,null,TRGIB,0,588+374+592+613+606,0,40,20.json,86.json,1,5733000
88,nozomi,Male,null,TRGIB,0,14+79+590+585+263,0,40,21.json,87.json,1,6651000
89,nozomi,Male,null,TRGIB,0,579+241+562+48+55,0,40,6.json,88.json,1,11209000
90,nozomi,Male,null,TRGIB,0,550+15+558+295+7,0,40,26.json,89.json,1,17893000
91,nozomi,Male,null,TRGIB,0,211+770+400+673+662,0,40,23.json,90.json,1,5620000
92,nozomi,Male,null,FDGIB,0,161+128+121+28+42,0,10,13.json,91.json,1,9037000
93,nozomi,Male,null,FDGIB,0,82+107+104+138+140,0,10,2.json,92.json,1,8685000
94,nozomi,Male,null,FDGIB,0,588+374+592+606+613,0,40,20.json,93.json,1,5039000
95,nozomi,Male,null,TRGIB,0,183+120+182+139+130,0,10,29.json,94.json,1,7113000
96,nozomi,Male,null,FDGIB,0,31+73+51+60+92,0,10,10.json,95.json,1,12812000
97,nozomi,Male,null,TRGIB,0,36+410+501+407+517,0,40,22.json,96.json,1,13350000
98,nozomi,Male,null,FDGIB,0,276+584+585+85+79,0,40,8.json,97.json,1,8911000
99,nozomi,Male,null,TRGIB,0,304+107+446+445+124,0,40,2.json,98.json,1,5757000
100,nozomi,Male,null,FDGIB,0,28+158+48+44+153,0,10,6.json,99.json,1,6689000
101,nozomi,Male,null,TRGIB,0,85+64+83+141+59,0,10,25.json,100.json,1,13083000
102,nozomi,Male,null,TRGIB,0,82+107+140+138+104,0,10,2.json,101.json,1,22138000
103,nozomi,Male,null,FDGIB,0,130+155+156+46,1,10,18.json,102.json,0,30000
104,nozomi,Male,null,TRGIB,0,130+155+128+108+100+104,-1,10,18.json,103.json,1,23619000
105,nozomi,Male,null,TRGIB,0,35+71+67+110+25,0,10,24.json,104.json,1,10343000
106,nozomi,Male,null,FDGIB,0,500+199+486+489+503,0,40,3.json,105.json,1,12419000
107,nozomi,Male,null,FDGIB,0,162+103,3,10,27.json,106.json,0,30000
108,nozomi,Male,null,TRGIB,0,115+73+83+78+117,0,10,20.json,107.json,1,12543000
109,nozomi,Male,null,TRGIB,0,56+138+15+67+13+16,-1,10,14.json,108.json,1,11766000
110,nozomi,Male,null,TRGIB,0,59+131+123+87+84,0,10,23.json,109.json,1,9597000
111,nozomi,Male,null,TRGIB,0,616+595+490+477+604,0,40,28.json,110.json,1,7414000
112,nozomi,Male,null,TRGIB,0,455+239+329+459+248,0,40,17.json,111.json,1,15661000
113,nozomi,Male,null,FDGIB,0,139+105+81+89+110,0,10,21.json,112.json,1,17256000
114,nozomi,Male,null,TRGIB,0,469+407+470+228+399,0,40,29.json,113.json,1,5282000
115,nozomi,Male,null,FDGIB,0,697+30+311+276+275,0,40,0.json,114.json,1,10377000
116,nozomi,Male,null,FDGIB,0,176+495+186+389+392,0,40,30.json,115.json,1,6778000
117,nozomi,Male,null,TRGIB,0,322+108+101+97+98+109,-1,40,13.json,116.json,1,14505000
118,nozomi,Male,null,TRGIB,0,446+592+57+437+456+432,-1,40,9.json,117.json,1,27493000
119,nozomi,Male,null,TRGIB,0,53+43+50+211+196,0,40,18.json,118.json,1,7632000
120,nozomi,Male,null,TRGIB,0,162+103+171+89+110,0,10,27.json,119.json,1,5624000
